code;url;product_name;brands;stores;nutrition_grade_fr;main_category_fr;countries_fr;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g;image_url;image_small_url;last_modified_t
0896296000769;http://world-fr.openfoodfacts.org/produit/0896296000769/chips-a-base-de-betterave-air-chips-bio;Chips à base de Betterave;Air Chips Bio;;c;Chips et frites;France;1402.0;1.4;70.0;3.5;7.0;7.0;4.8;;;1500801236
1023374301015;http://world-fr.openfoodfacts.org/produit/1023374301015/galettes-au-bon-beurre-francais-saint-michel;Galettes au bon beurre français;Saint Michel;;e;Biscuits;France;1985.0;16.0;74.0;25.0;2.0;7.0;0.8999999999999989;;;1507899237
11914067;http://world-fr.openfoodfacts.org/produit/11914067/crusti-croc-classique-lidl;Crusti Croc Classique;Lidl;Lidl;d;Chips et frites;France;2298.0;34.9;51.8;0.5;;5.3;1.2;;;1489237750
11916444;http://world-fr.openfoodfacts.org/produit/11916444/sable-coco-cacao-au-sirop-d-agave-gerble;Sablé coco cacao au sirop d'agave;Gerblé;;c;Biscuits;France;1966.0;20.0;60.0;13.0;7.6;8.6;0.7799999999999989;;;1505748801
1201296720002;http://world-fr.openfoodfacts.org/produit/1201296720002/chips-salees-ikea;Chips salées;IKEA;Ikéa;d;Chips et frites;France;2092.0;27.0;56.0;0.8;;8.3;1.3;http://fr.openfoodfacts.org/images/products/120/129/672/0002/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/120/129/672/0002/front.3.200.jpg;1434442119
1201509270003;http://world-fr.openfoodfacts.org/produit/1201509270003/sockerfria-kakor-havre-ikea;Sockerfria Kakor Havre;Ikea;Ikea;e;Biscuits;France;2060.0;33.0;51.0;0.4;;4.8;1.0;;;1484503830
12226787;http://world-fr.openfoodfacts.org/produit/12226787/lay-s-mediterraneenne-nature;Lay's Méditerranéenne Nature;Lay's,Pepsico;;d;Chips et frites;France;2132.0;31.0;49.0;0.5;5.1;6.1;1.7;;;1499634024
1303058010007;http://world-fr.openfoodfacts.org/produit/1303058010007/kakor-hallon-ikea;Kakor hallon ;Ikea;;e;Biscuits;France;1990.0;19.0;71.0;37.0;;4.2;0.53;http://fr.openfoodfacts.org/images/products/130/305/801/0007/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/130/305/801/0007/front.3.200.jpg;1512405611
1401290200009;http://world-fr.openfoodfacts.org/produit/1401290200009/kex-ikea;KEX;Ikea;;d;Biscuits;France;1757.0;;;19.0;0.0;7.9;1.4;http://fr.openfoodfacts.org/images/products/140/129/020/0009/front.9.400.jpg;http://fr.openfoodfacts.org/images/products/140/129/020/0009/front.9.200.jpg;1491750125
1402517320005;http://world-fr.openfoodfacts.org/produit/1402517320005/pepparkaka-ikea;Pepparkaka;Ikea;Ikea;e;Biscuits;France;1946.0;17.0;72.0;33.0;;5.4;1.2;http://fr.openfoodfacts.org/images/products/140/251/732/0005/front.7.400.jpg;http://fr.openfoodfacts.org/images/products/140/251/732/0005/front.7.200.jpg;1492027706
1701246860005;http://world-fr.openfoodfacts.org/produit/1701246860005/galettes-doubles-au-chocolat-ikea;Galettes doubles au chocolat;Ikea;Ikea;e;Biscuits;France;2117.0;26.0;61.0;41.0;;5.2;0.63;http://fr.openfoodfacts.org/images/products/170/124/686/0005/front.6.400.jpg;http://fr.openfoodfacts.org/images/products/170/124/686/0005/front.6.200.jpg;1490555151
1803058080005;http://world-fr.openfoodfacts.org/produit/1803058080005/kakor-choklad-ikea;Kakor Choklad;Ikea;Ikea;e;Biscuits;France;2075.0;24.0;64.0;35.0;;5.2;0.530000000000001;;;1499280698
18437016774004;http://world-fr.openfoodfacts.org/produit/18437016774004/rosfit-dulces-laly;ROSFit;Dulces Laly;Noz;b;Biscuits;France;1615.0;14.3;42.5;0.5;;14.1;0.13;;;1492860711
2000000001619;http://world-fr.openfoodfacts.org/produit/2000000001619/chips-saveur-foie-gras-sibell;Chips Saveur Foie Gras;Sibell;Monoprix;d;Chips et frites;France;2248.0;34.0;51.0;1.0;4.7;5.0;1.89992;http://fr.openfoodfacts.org/images/products/200/000/000/1619/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/000/1619/front.5.200.jpg;1415117063
2000000003271;http://world-fr.openfoodfacts.org/produit/2000000003271/frite-moyenne-quick;Frite moyenne;Quick;Quick;c;Chips et frites;France;1160.0;12.8;37.3;0.0;;3.36;0.0909;http://fr.openfoodfacts.org/images/products/200/000/000/3271/front.12.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/000/3271/front.12.200.jpg;1448629968
2000000003754;http://world-fr.openfoodfacts.org/produit/2000000003754/petite-frite-mcdonald-s;Petite Frite;Mcdonald's,McCain;McDonald's;a;Chips et frites;France;1250.0;15.0;36.0;0.4;3.8;3.8;0.49999999999999895;http://fr.openfoodfacts.org/images/products/200/000/000/3754/front.4.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/000/3754/front.4.200.jpg;1475771606
2000000003779;http://world-fr.openfoodfacts.org/produit/2000000003779/grande-deluxe-potatoes-mcdonald-s;Grande Deluxe Potatoes;Mcdonald's;McDonald's;b;Chips et frites;France;814.0;8.8;25.0;0.3;2.8;3.5;1.1;http://fr.openfoodfacts.org/images/products/200/000/000/3779/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/000/3779/front.3.200.jpg;1475771565
2000000003781;http://world-fr.openfoodfacts.org/produit/2000000003781/frites-moyenne-mcdonald-s;Frites Moyenne;McDonald's;McDonald's;a;Chips et frites;France;1250.0;14.9;36.8;0.35100000000000003;3.68;3.42;0.48200000000000004;http://fr.openfoodfacts.org/images/products/200/000/000/3781/front.16.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/000/3781/front.16.200.jpg;1449411858
2000000010019;http://world-fr.openfoodfacts.org/produit/2000000010019/frites-grandes-salees-kfc;Frites Grandes salées;KFC;KFC;b;Chips et frites;France;1200.0;13.6;35.7;0.7140000000000001;2.86;4.29;0.7140000000000001;http://fr.openfoodfacts.org/images/products/200/000/001/0019/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/001/0019/front.5.200.jpg;1496350917
2000000016505;http://world-fr.openfoodfacts.org/produit/2000000016505/grande-frite-mcdonald-s;Grande Frite;McDonald's;McDonald's;a;Chips et frites;France;1249.0;15.0;37.0;0.3;3.7;3.4;0.48;http://fr.openfoodfacts.org/images/products/200/000/001/6505/front.6.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/001/6505/front.6.200.jpg;1431594356
2000000017785;http://world-fr.openfoodfacts.org/produit/2000000017785/ptit-beurre-breton-bretagne-specialites;Ptit Beurre Breton;Bretagne Specialités;;e;Biscuits;France;2025.0;20.7;69.0;26.7;0.0;6.2;0.699999999999999;;;1503349417
2000000018945;http://world-fr.openfoodfacts.org/produit/2000000018945/twister-fries-moyenne-portion-mcdonald-s;Twister Fries (moyenne portion);McDonald's;McDonald's;c;Chips et frites;France;1111.0;14.0;31.0;2.0;2.5;3.7;2.0;http://fr.openfoodfacts.org/images/products/200/000/001/8945/front.4.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/001/8945/front.4.200.jpg;1446371409
2000000021927;http://world-fr.openfoodfacts.org/produit/2000000021927/grand-premium-fries-moyenne-portion-mcdonald-s;Grand Premium Fries (moyenne portion);McDonald's;McDonald's;b;Chips et frites;France;987.0;12.0;27.0;0.0;3.3;3.3;0.76;http://fr.openfoodfacts.org/images/products/200/000/002/1927/front.6.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/002/1927/front.6.200.jpg;1443259608
2000000024630;http://world-fr.openfoodfacts.org/produit/2000000024630/biscuit-chocolat-cereales-gerlinea;Biscuit chocolat céréales;Gerlinéa;;d;Biscuits;France;1824.0;16.0;46.0;15.0;8.0;23.0;0.98;http://fr.openfoodfacts.org/images/products/200/000/002/4630/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/002/4630/front.8.200.jpg;1488992055
2000000024713;http://world-fr.openfoodfacts.org/produit/2000000024713/frites-moyenne-les-rustiques-quick;Frites Moyenne Les Rustiques;Quick;Quick;c;Chips et frites;France;805.0;8.2;26.5;0.752;;3.08;1.2;http://fr.openfoodfacts.org/images/products/200/000/002/4713/front.6.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/002/4713/front.6.200.jpg;1448811682
2000000026846;http://world-fr.openfoodfacts.org/produit/2000000026846/winter-fries-moyenne-portion-mcdonald-s;Winter fries (moyenne portion);McDonald's;McDonald's;a;Chips et frites;France;983.0;12.0;27.0;0.0;3.6;3.6;0.8;http://fr.openfoodfacts.org/images/products/200/000/002/6846/front.4.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/002/6846/front.4.200.jpg;1454076585
2000000029623;http://world-fr.openfoodfacts.org/produit/2000000029623/biscuits-de-campagne-biscuits-saint-georges;Biscuits de Campagne;Biscuits Saint-Georges;RCIR,Armée de Terre;e;Biscuits;France;1829.0;11.3;75.5;15.5;2.5;6.4;3.1;http://fr.openfoodfacts.org/images/products/200/000/002/9623/front.20.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/002/9623/front.20.200.jpg;1499547628
2000000036032;http://world-fr.openfoodfacts.org/produit/2000000036032/frites-grande-burger-king;Frites (grande);Burger King;;c;Chips et frites;France;1050.0;10.0;34.9;0.2;;3.4;0.9;;;1496352964
2000000039841;http://world-fr.openfoodfacts.org/produit/2000000039841/biscino-chocolat-noir-sondey;Biscino Chocolat Noir;Sondey;LIDL;e;Biscuits;France;2054.0;23.3;60.5;30.9;;6.9;0.38;;;1482508061
2000000041658;http://world-fr.openfoodfacts.org/produit/2000000041658/oreillettes-traditionnelles-biscuits-arena;Oreillettes Traditionnelles;Biscuits Aréna;Super U;d;Biscuits;France;2284.0;35.0;51.0;17.0;;5.0;0.44;;;1486218679
